heading,papers
student volunteers co-chairs,2
ocal arrangements,2
agile portugal liaison,2
agile alliance liaison,2
steering committee,2
nstitutional partners,2
agile requirements,2
osmic user story standard,2
"tiaraj´u avenue, alegrete, rs, brazil",2
"unbabel, lisbon, portugal",2
agile requirements · agile development,2
m. ecar et al.,2
osmic method,2
user story overview,2
fig. 4. context-free grammar,2
survey,2
fig. 5. first statement,2
table 6. example using traditional template,2
can rent it,2
table 7. example using cuss,2
"cohn,",2
mproving mockup-based requirement,2
specification with end-user annotations,2
"conicet, buenos aires, argentina",2
m. urbieta et al.,2
enhancing mockups with end-user annotations,2
p subjectj; mf,2
r subjectj; mf,2
onclusion and further work,2
(2017),2
agile testing,2
ombining stpa and bdd for safety,2
analysis and verification in agile,2
development: a controlled experiment,2
y. wang and s. wagner,2
stpa integrated bdd for safety analysis,2
and verification (stpa-bdd),2
fig. 1. stpa-bdd concept,2
fig. 2. bdd safety verification example,2
experiment design (we follow the guideline,2
by wohlin et al. [32].),2
experiment operation,2
fig. 3. experiment operation,2
table 2. descriptive statistic,2
0.24,2
0.45,2
0.19,2
0.65,2
0.22,2
0.57,2
0.29,2
0.60,2
0.01,2
0.02,2
0.38,2
1.00,2
0.49,2
0.83,2
0.36,2
0.88,2
0.46,2
0.81,2
−2.00 1.50,2
0.70,2
−1.00 1.00,2
−2.00 0.00,2
−0.75,2
1.13,2
−2.00 0.50,2
−0.67,2
"eng. 4, 279-290 (1977)",2
"softw. technol. 46(5), 337-342 (2004)",2
r. florea and v. stray,2
36%,2
mplications,2
(2005),2
developers' initial perceptions on tdd,2
practice: a thematic analysis with,2
distinct domains and languages,2
j. choma et al.,2
table 1. projects characterization,2
table 2. software metrics,2
table 3. difficulties in applying tdd,2
a previous test failed,2
table 5. key benefits of tdd,2
table 6. tdd for software design,2
practically did not have to,2
table 6. (continued),2
table 7. use of mock objects,2
"onclusion, limitations and future work",2
"quality. ieee softw. 23(6), 70-71 (2006)",2
"gramming. ieee softw. 24(3), 24-30 (2007)",2
ieee (2009),2
myths and facts about static,2
an action research at telenor digital,2
"telenor digital, oslo, norway",2
t. d. oyetoyan et al.,2
evaluating static analysis tools,2
table 1. weakness categories [13],2
performance metrics,2
t p,2
t p +f n,2
t p +f p,2
results of tools' evaluation,2
1275,2
3834 1085,2
4338,2
2736,2
nterview,2
practices and demography,2
discussions and implications,2
"(3), 259-279 (2013)",2
"secur. comput. 11(6), 497-509 (2014)",2
center,2
"eng. 32(4), 240-253 (2006)",2
automated acceptance tests as software,2
requirements: an experiment to compare,2
the applicability of fit tables,2
and gherkin language,2
write a new test case.,2
refactor code to remove duplication.,2
experiment definition,2
results and data analysis,2
threats to the validity,2
(2009),2
agile transformation,2
s. theobald and p. diebold,2
"(8, 1, 1)",2
"(3, 2, 0)",2
"(2, 2, 0)",2
"(0, 1, 0)",2
"(8, 3, 0)",2
"(0, 2, 0)",2
"(0, 2, 5)",2
"(1, 0, 0)",2
"(3, 3, 6)",2
"(1, 1, 9)",2
"(3, 1, 4)",2
"(3, 1, 0)",2
"(2, 1, 0)",2
"(2, 2, 2)",2
"(0, 2, 2)",2
"(8, 1, 0)",2
"(11, 4,",2
"(1, 1, 3)",2
"(11, 3, 2)",2
"(0, 3, 0)",2
(2013),2
enterprise agility: why is transformation,2
so hard?,2
organisational culture  leadership,2
t. karvonen et al.,2
(2014),2
a latin-american survey,2
n. paez et al.,2
results and findings,2
(89/107),2
(76/107),2
(67/107),2
(64/107),2
(47/107),2
(40/107),2
(37/107),2
(21/107),2
mar 2018,2
agile software development - adoption,2
and maturity: an activity theory perspective,2
agile maturity,2
p. chita,2
activity theory (at),2
research conducted,2
further research,2
(2001),2
scaling agile,2
do agile methods work for large,2
software projects?,2
m. jørgensen,2
the survey,2
of retrospectives in large-scale,2
agile development,2
earning  process improvement,2
t. dingsøyr et al.,2
"routines, metrics and artefacts",2
to maintain an effective oversight,2
"accenture b.v., liquid studio,",2
j. stettina and l. schoemaker,2
nitiatives through agile portfolio management,2
of agile teams,2
a telco,2
b electronics,2
telco,2
d finance,2
e government,2
f aviation,2
g it service,2
h public,2
j e-commerce,2
analysis and discussion,2
development and process,2
product,2
and pmo-driven,2
e or g allows for such.,2
"manag. rev. 45(3), 41 (2004)",2
nter-team coordination in large-scale,2
agile development: a case study,2
of three enabling mechanisms,2
project management · portfolio management,2
arge-scale development and coordination,2
frameworks,2
f. o. bjørnson et al.,2
oordinating multiple teams,2
structure and organisation,2
nter-team coordination,2
shared mental model,2
losed-loop communication,2
trust,2
"omput. surv. (csur) 26(1), 87-119 (1994)",2
"res. 36(5), 555-599 (2005)",2
"(3), 276-290 (2011)",2
"organ. psychol. 2, 289-313 (2001)",2
"(1/2), 64-83 (2017)",2
"psychol. 84(3), 445 (1999)",2
"craft. inf. organ. 17(1), 2-26 (2007)",2
supporting large-scale agile,2
development with domain-driven design,2
"technische universit¨at m¨unchen (tum),",2
"garching bei m¨unchen, germany",2
yes,2
emergent &,2
ase study design,2
framework,2
"coexist? ieee softw. 27(2), 16-22 (2010)",2
"ers. ieee softw. 27(5), 8-9 (2010)",2
towards agile scalability engineering,2
"sintef digital, trondheim, norway",2
"evry norway as, fornebu, norway",2
g. brataas et al.,2
the scrumscale method,2
"j. 14(1), 65-86 (2004)",2
human-centric agile,2
practices and outcomes,2
"carleton university, ottawa, canada",2
a. meier et al.,2
and 5).,2
ti effectiveness of meetings,2
si_software.architecture < 2.5,2
si_defect.rate < 3.5,2
ti_effectiveness.of.meetings < 3.5,2
bi_delivery.predictability < 4.5,2
tp_continuous.delivery  3.5,2
p_on.site.customer  2.5,2
p_self.organizing.team < 4.5,2
pp_user.stories < 4.5,2
p_on.site.customer < 1.5,2
(1978),2
exploring differences between small,2
and large agile projects,2
"university of oslo, oslo, norway",2
"sintef, 7465 trondheim, norway",2
y. lindsjørn et al.,2
"j. syst. softw. 114, 101-124 (2016)",2
ontinuous experimentation,2
hallenges and strategies for undertaking,2
ontinuous experimentation to embedded,2
systems: industry and research perspectives,2
ontrolled experiments  embedded systems,2
d. i. mattos et al.,2
hallenges and proposed strategies,2
os overview: should investors choose,2
an ico developed with the lean,2
startup methodology?,2
s. ibba et al.,2
os: overview,2
the main characteristics of icos,2
how does an ico works?,2
overview of icos phenomenon statistics,2
(7),2
(0),2
(3),2
(10+5),2
(9),2
days,2
days 10.87,2
fig. 1. team size distribution,2
os' critical aspects,2
os as lean startups,2
three different case studies,2
dogood,2
blockchain-fueled,2
social,2
platform,2
ean,2
"softw. 29(5), 26-32 (2012)",2
"(1), 1-16 (2014)",2
"res. appl. 27, 106-117 (2018)",2
specification and user stories,2
universidade federal do amazonas,2
universidade federal do estado do rio,2
(ufam) manaus - am - brazil,2
"{ana.oran, elizamary.souza}",2
de janeiro (unirio),2
user story usada em behavior driven,2
development (bdd),2
especificação de requisitos de,2
caso de uso,2
planejamento do estudo,2
estudo experimental,2
treinamento.,2
mockups,2
uso (uc) e user story (us),2
o que é isso?,2
"a descrição no campo ""dado que""",2
o sequenciamento nos fluxos,2
a descrição do cenário está,2
o nome do cenário permite,2
execução do estudo,2
análise dos resultados,2
resultados quantitativos,2
figura,2
números,2
de,2
defeitos,2
encontrados,2
nas,2
e 2,2
e 1,2
e 4,2
e 3,2
tabela 6: defeitos encontrados nos mockups,2
o que é,2
o fluxo de exceção 1,2
figura 3: corretude dos mockups criados,2
figura 5: defeitos propagados para mockups,2
resultados qualitativos,2
análise dos resultados gerais. os,2
conclusão,2
discussão,2
issn 1980-7031.,2
brazil,2
total citations: 1,2
ntrodução,2
behavior driven development (bdd),2
stars,2
forks,2
resultados,2
#.c world scienti¯c publishing company,2
application development,2
related terminologies,2
mobile application testing,2
"user stories, ac, test scenarios",2
domain-speci¯c language,2
formal speci¯cation methods,2
xtext and xtend framework,2
automation testing using cucumber tool,2
want to hperform some,2
want to be able to,2
invoke smt solver,2
return output.csv,2
"createbdd (bdd.feature, output.csv)",2
h,2
(not use heuristics),2
(use heuristics),2
conclusion and future scope,2
xtext documentation,2
specifications,2
research questions,2
want,2
application of bhive to system development,2
identify features,2
define,2
extend/adapt,2
derive test,2
analyze,2
abstract-nowadays,2
usually,2
"mathias soeken1,2",2
"rolf drechsler1,2",2
scenario: adding two numbers,2
given a calculator,2
then i see the result 9,2
scenario outline: adding two numbers,2
then i see the result <c>,2
scope,2
published: 21 may 2018,2
gabriel oliveira,2
sabrina marczak,2
aspect,2
"sul, porto alegre, rs, brazil",2
"alegre, rs, brazil",2
nicolas nascimento,2
"pucrs, school of technology",2
alan r. santos,2
afonso sales,2
rafael chanin,2
behavior-driven development (bdd),2
tem,2
between,2
on,2
essons learned,2
ref,2
story,2
literature study,2
projects,2
running examples,2
1,2
lessons learned,2
program co-chairs,2
agile practices,2
execution,2
s/n,2
discussion and threats to validity,2
diagnosing,2
next steps,2
mapping,2
security,2
university of stuttgart,2
attribute,2
%,2
o,2
of,2
experience report,2
x,2
"given [context], when [event], then [outcome]",2
3,2
systems,2
page,2
begin,2
steps,2
vsm-based microservice matching,2
(,2
),2
attributes,2
preparation,2
development process,2
open access,2
,2
online ,2
articles you may be interested in,2
feature [title] - [transaction id],2
regulatory,2
summary and future work,2
electronic health record system,2
regulation,2
itrust,2
openemr,2
tolven 2.1,2
position,2
evaluation & discussion,2
user story,2
isting,2
author keywords,2
acm classification keywords,2
a behavior-based ontology for supporting,1
automated assessment of interactive systems,1
thiago rocha silva,1
jean-luc hak,1
marco winckler,1
a. computational ontologies and related works,1
b. user stories,1
when  [event],1
then  [outcome],1
b. data properties,1
a. modeling of interaction elements,1
modeling of the state machine,1
d. object properties,1
behaviors:,1
relations:,1
a. consistency checking,1
transition interaction elements,1
b. validation by a case study,1
public class mypages {,1
a. future works,1
behavior-driven intent specification design,1
b. chain intent interpretation workflow,1
intent interpretation workflow,1
a. general workflow,1
ompute2,1
ompute3,1
network/controller/compute1,1
br-ex,1
br-int,1
ryu,1
br-tun,1
ovs0,1
data network,1
onos,1
evaluation results,1
prototype implementation and testbed,1
ntent-based,1
firewall,1
programming,1
iptables. to,1
node-c,1
f-1,1
f-3,1
f-t,1
data rate [mbps],1
105 120 135 150,1
time [s],1
flow blacklisted,1
flow blacklisted/whitelisted,1
flows whitelisted,1
f i r s t,1
-3105.622,1
-2962.033,1
-4.998,1
-5.451,1
total downloads: 226,1
paerns,1
federal university of são carlos,1
federal university of goiás,1
test patterns,1
taciana novo kudo∗,1
renato f. bulcão-neto,1
departmento de computação,1
universidade federal de são carlos,1
nstituto de informática,1
universidade federal de goiás,1
auri m. r. vincenzi,1
"são carlos, são paulo, brazil",1
"goiânia, goiás, brazil",1
the sopamm conceptual metamodel,1
softwarepattern and softwarepatternbag,1
relationships of sp and spb,1
requirement pattern definitions,1
testpattern definitions,1
final remarks,1
a formal ontology for describing interactive,1
behaviors and supporting automated,1
testing on user interfaces,1
computational ontologies and related works,1
object properties,1
relations,1
data properties,1
platform concepts,1
ui elements concepts,1
state machine concepts,1
scenario-based concepts,1
heckbox and radio button behaviors,1
transition,1
ui elements,1
ommon behaviors,1
data generation behaviors,1
data provider behaviors,1
debug behaviors,1
dialog behaviors,1
mouse control behaviors,1
table behaviors,1
consistency checking,1
validation by a case study,1
mapping ontological concepts,1
future works,1
a framework to diminish the gap between the,1
business specialist and the software designer,1
domain model,1
a. mind map modeling,1
b. model and ubiquitous language,1
mind maps forextracting a domain,1
addison-wesley,1
published: 08 april 2019,1
university of münster,1
temis ag,1
bonn,1
münster,1
material - behavior-driven gui,1
alendar web application screen,1
std. error,1
nominator,1
denominator,1
test cases as requirements,1
(125-150 in 2009),1
(20-30 pages html),1
"1:s, c6:s, c7:s",1
"b1:j, b2:s, b3:s",1
a2:s,1
"9:s, c10:s, c11:j, c12:s, c14:s",1
a1:j,1
"3:j, c8:s",1
a3:s,1
"2:j, c5:s, c15:j",1
case companies,1
company a,1
company b,1
first iteration: initial exploration,1
software architects,1
company c,1
data selection,1
to 15 project members.,1
definition and planning,1
data selection/collection,1
reporting,1
results: applications of tcr in practice,1
elicitation and validation: company a,1
verification: company a,1
verification: company b,1
elicitation and validation: company b,1
customer agreement: company b,1
elicitation and validation: company c,1
verification: company c,1
verification: company c api development,1
customer agreement: company c,1
elicitation and validation,1
verification,1
erification,1
tracing,1
managing changes,1
ustomer agreement/contractual,1
documentation of customer agreement,1
for product,1
for api,1
for customer,1
reliability,1
(2000) 70-79.,1
total downloads: 1482,1
published: 23 april 2018,1
development: gherkin2oas,1
"macedonia, greece",1
"entral macedonia, greece",1
aristotle university of thessaloniki,1
gherkin2oas,1
anastasios dimanidis,1
kyriakos c. chatzidimitriou,1
andreas l. symeonidis,1
thessaloniki,1
isting 1: gherkin: given..when..then,1
isting 2: gherkin: and but,1
isting 3: gherkin: data tables,1
e l v i s,1
nlp-gherkin limitations,1
gherkin-based documentation,1
gherkin to openapi mapping,1
"erbs, parameters and models",1
resources,1
3 : 0 5,1
2 : 0 5,1
given..when..then,1
isting 7: gherkin based documentation: models,1
responses,1
and status code,1
isting 11: gherkin based documentation: roles,1
am logged,1
and links to other resources,1
"roles, resource hierarchies and comments",1
8 . 2,1
2 : 3 2,1
chy,1
figure 1: gherkin2oas: resource graph,1
figure 2: gherkin2oas: state graph,1
(03 2014).,1
a requirement-based regression test selection,1
technique in behavior-driven development,1
st jincheng xu,1
nd qingfeng du,1
rd xiaojun li,1
definitions and assumptions,1
a. regression test selection,1
a. definitions of rts in bdd,1
b. assumptions,1
b. behavior driven development,1
d. select unit,1
a. write scenarios,1
b. compute similarity,1
select acceptance,1
select acceptance test cases,1
d. select unit test cases,1
"n. laranjeiro, eds.",1
domain driven design,1
eloisa cristina silva santos,1
delano medeiros beder,1
rosângela a. dellosso penteado,1
a. domain-driven design,1
d. test-driven development,1
e. behaviour-driven development,1
tdd,1
f. comparison between tdd and bdd,1
arlos solís,1
iaofeng wang,1
keywords-behaviour,1
b. iterative decomposition process,1
f. behaviour driven at different phases,1
xbehave family,1
xspec family,1
support of the bdd characteristics,1
nbehave,1
rspec,1
mspec,1
storyq,1
damla güncan1,1
pınar onay durdu2,1
j softw evol proc. 2020;e2274.,1
of 26,1
se and software development models,1
"hci, usability, and ucd",1
name,1
ntegration of se and hci,1
data-gathering tools,1
participants and organizations,1
roles,1
participant code,1
organizational domain,1
project type,1
participants of model validation step,1
experience with ux,1
experience with agile processes,1
experience withtdd/bdd,1
requirements analysis category,1
code (ra_cc),1
ategory definition,1
reliability and validity of the study,1
model validation category code,1
(mv_cc),1
category code (ra_cc),1
model,1
mplementation of usability evaluations,1
analysis category,1
model validation,1
category code,1
ucb software development model,1
teration 0,1
teration 1 − n,1
analysis and design phase,1
withdraw money,1
mplementation phase,1
evaluation phase,1
ucb and iterations,1
ustomers and users,1
analysis team,1
test team,1
ux specialist,1
software developers,1
conference; 2008:63-72.,1
theme section paper,1
tom mens1,1
b tom mens,1
t. mens et al.,1
dbc,1
tdd and bdd,1
run-time verification,1
design phase,1
fig. 2 spem 2.0 work product,1
fig. 3 spem activity diagram,1
testing phase,1
fig. 5 spem activity diagrams,1
tooling,1
fig. 6 architectural overview,1
statechart interpreter,1
importing and exporting statechart models,1
aseme.tuc.gr.,1
plantuml.com.,1
fig. 7 code fragment of a,1
import,1
print ( ' active,1
print ( ' timer,1
print ( ' power,1
run-time monitoring of statecharts,1
using the api to execute statecharts,1
fig. 8 sismic's macrostep,1
support for unit testing and bdd scenarios,1
fig. 9 component diagram for,1
running example: statechart design phase,1
analysis phase work products,1
component diagram,1
ui mock-up,1
fig. 12 two property,1
define properties,1
define statechart,1
fig. 13 property statechart,1
define unit tests,1
enrich statechart with contracts,1
fig. 15 example of python unit,1
def,1
from behave import given,1
define scenarios and implement scenario steps,1
"send event door_opened"".todoso,sismic'sapi",1
running example: statechart testing,1
monitor contracts,1
fig. 17 use case diagram,1
monitor properties,1
run unit tests,1
run scenarios,1
manually test through ui,1
fig. 20 example output,1
fig. 21 result of running the,1
entry: timer = 0,1
fig. 22 statechart of a,1
timer_reset / timer = 0,1
entry / send('heating_on'),1
fig. 24 participant familiarity,1
don't know what this is,1
use it occasionally,1
use it regularly,1
evaluation of bdd,1
fig. 25 understandability (left),1
fig. 26 confidence in the,1
fig. 27 participant familiarity,1
evaluation of property statecharts,1
evaluation of dbc for statechart monitoring,1
fig. 28 usefulness of statechart,1
fig. 29 understandability (left),1
fig. 30 usefulness of property,1
fig. 31 readability of a visual,1
fig. 32 ease of designing a,1
threats,1
related tools,1
smart contracts,1
unit testing of statechart models,1
bdd for statechart modelling,1
automatic generation of tests and contracts,1
dbc for statechart modelling,1
formal verification and run-time verification,1
fig. 33 example of statecharts,1
a statechart representing the,1
behaviour of agent a. b,1
(a),1
(b),1
"program. 69(1-3), 27-34 (2007)",1
tom mens obtained a ph.d. in,1
"eee comput. 30(7), 31-42 (1997)",1
(2015),1
"eng. 40(5), 427-449 (2014)",1
alexandre decan conducted his,1
nikolaos i. spanoudakis holds a,1
"joão sarraipa**, ricardo jardim-goncalves*",1
given some initial context,1
when an event occurs,1
then ensure some outcomes,1
requirements engineering in the v-model,1
as a [x],1
want [y],1
so that [z],1
preparation stage for manufacturing,1
going beyond traditional requirements,1
requirements management methodology,1
bdd based requirements management,1
requirements classifiers hierarchy,1
synchronization,1
module,1
wiki front-,1
wiki db,1
knowledge base,1
reasoning and decision-,1
making,1
requirements elicitation and analysis,1
wiki front-end,1
implementation of the requirements,1
synchronization module,1
osmose technical architecture - enables to,1
foreach s in ܵ,1
reasoning and decision-making,1
execution and validation of results,1
user requirements,1
technical requirements,1
riteria,1
technical,1
event persistence in the context manager,1
given relevant events in the past,1
foreach r in  ܴ,1
foreach p in ܱܲ,1
foreach re in ሺ ܴ,1
f re(score) >=,1
then r(common).add(re),1
19th international conference on control,1
the journal of systems & software,1
systems✩,1
as a user,1
want to login,1
so that i can view products,1
when authentication is successful,1
then user logs-in to the system,1
given user authenticates with correct cre-,1
when user logs-in to the system,1
then user can view the products,1
definition of behavior driven development,1
large-scale software testing,1
large-scale software development,1
bdd studies,1
research approach,1
step 4: conducting lab validation,1
survey questionnaire,1
practitioners interviews,1
"• theme: ""improved quality of requirements""",1
step 6: dynamic validation,1
improved quality of requirements (b2),1
help for test organization (b5),1
versioning control of behaviors (c6),1
a product manager communicates description,1
a bdd feature file containing the,1
a test case execution report.,1
a in product y,1
reply,1
replies,1
characteristics of the proposed process,1
ontrolled,1
architectural,1
table 12,1
adaptation constraints for organizations,1
comparison with similar approaches,1
"(6), 3270-3288.",1
e. bjarnason et al.,1
total citations: 6,1
total downloads: 457,1
published: 20 september 2017,1
federal university of amazonas,1
published: 17 september 2018,1
university of brasilia,1
a survey approach,1
uis henrique vieira amaral,1
omputer science department - unb,1
henrique medrado de faria,1
rafael fazzolino,1
"brasília, df",1
rodrigo bonifácio,1
genaína nunes rodrigues,1
edna dias canedo,1
referencial teórico,1
test driven development (tdd),1
sistema de boletim (sisbol),1
estudo de caso,1
sistema de dotação de material (sisdot),1
estratégia de testes,1
uso da abordagem desenvolvimento,1
guiado por comportamento,1
ferramenta,1
watching,1
inguagem java,1
equipes envolvidas,1
dados de desenvolvimento,1
perspectiva das equipes,1
discussão dos resultados,1
onclusões,1
assisted behavior driven development,1
using natural language processing,1
cyber-physical systems,1
augmented system verification,1
using automated testing,1
system verification process,1
a. schur and m. williams,1
automated testing to support acceptance,1
automated testing framework development based,1
andrei contan,1
department of automation,1
atalin dehelean,1
department of specialized foreign languages,1
"""babes-bolyai"" university",1
technical university,1
"luj-napoca, romania",1
iviu miclea,1
speaking),1
what needs to be delivered,1
language,1
must,1
be,1
precise,1
complete delivery means,1
-1-5090-6073-3/17/$31.00 ©2017 european union,1
introduction to bdd,1
the analysis and research approach,1
given <defining an initial context>,1
when <executing certain actions or steps>,1
describing functionality as scenarios and,1
then <defining the expected results>,1
scenario 1: [title of scenario],1
given: [context],1
and: [extra and optional details,1
when: [action taken],1
then: [expected result],1
and: [more details on the result],1
other studies in the field of bdd,1
a. needs addressed during implementation,1
feature: create story via api,1
scenario: create story test,1
"given i send ""valid"" ""post"" call for ""login""",1
"then the response status code is ""200""",1
when i create a new story,1
b. needs addressed during implementation,1
response response =,1
throwable {,1
string expectedstatuscode =,1
principles,1
future studies,1
descriptions of software behavior,1
for writing semi-structured scenario descrip-,1
scenario: check stock threshold,1
then the alert status is off,1
then the alert status is on,1
a new approach,1
the design of kirby,1
probabilistic matcher,1
nlp augmentation engine,1
ode information extractor,1
ode generator,1
examples in action,1
public void testcheckstockthreshold(),1
scenario: multiple toggle outcome,1
"given a game called gameoflife, with",1
then the string representation of the,1
"""_ _ _ _ x",1
_ _ _ _ _,1
"_ _ _ x _""",1
public void testmultipletoggleoutcome(),1
scenario: request contains string,1
given a url with value,1
and we send a request,1
"then the response contains ""google""",1
algorithm,1
lause type,1
public void testrequestcontainsstring(),1
omprehensive,1
dictionary,1
s (s.d. 3.78),1
s (s.d. 3.73),1
smaller,1
s (s.d. 3.98),1
s (s.d. 3.61),1
s (s.d. 0.27),1
s (s.d. 0.28),1
s (s.d. 0.45),1
s (s.d. 0.46),1
maryam imtiaz malik,1
muddassar azam sindhu,1
akmal saeed khattak,1
rabeeh ayaz abbasi,1
khalid saleem,1
of 22,1
oracle,1
test case generation from requirements,1
renalart,1
split,1
rq2: automatic test data generation,1
rq3: automatic expected output extraction,1
stop word removal,1
rq4: test verdict assignment,1
osine distance,1
edit distance,1
obsi = exp j,1
otherwise,1
hamming distance,1
manhattan distance,1
artesian distance,1
final test verdict,1
olx pakistan,1
m+,1
k+,1
mental health tests,1
mcdelivery pakistan,1
bluestacks,1
power searching with google,1
tensorflow playground,1
w3schools 2018 offline,1
touch'd case study,1
result analysis and discussion,1
test efficiency,1
"j. carter, w.b. gardner",1
b. b-method,1
related work integrating formal and agile,1
introducing bhive,1
a. bowling case study,1
b. development flow,1
"d. makalsky,",1
r. f.,1
"k. beck,",1
"m. beedle,",1
a. van,1
"a. cockburn,",1
"w. cunningham,",1
"m. fowler,",1
"j. grenning,",1
"j. highsmith,",1
"d. north,",1
a. r.,1
bhive: behavior-driven development,1
meets b-method,1
ntroducing bhive,1
bhive's approaches to verification,1
bhive's development flow,1
requirements gathering.,1
requirements modeling for systems of systems,1
"arsten wiechera, joel greenyerb",1
the besos tool,1
clarify,1
sos,1
feature,1
sos scenario specification,1
s scenario specification,1
sos scenario program,1
s scenario program,1
test executer,1
advertisement sos,1
closing,1
beast methodology,1
driven development,1
a. iglesias,1
m. garijo,1
fig. 1 beast testing,1
system behaviour specification,1
mas behaviour specification,1
fig. 3 scenario template (north 2007),1
agent level testing,1
fig. 4 beast mock agents,1
fig. 5 outcomes of beast phases,1
providing traceability,1
story parser,1
beast tool,1
beast test case model,1
fig. 6 example of traceability,1
mas platform interface,1
fig. 8 beast test case class,1
are completely integrated.,1
case study: mas for fault diagnosis on ftth,1
mock definition,1
table 1 example of user story,1
fig. 9 beast test case,1
table 2 examples of agent stories,1
fig. 10 architecture of an,1
fig. 12 steps of the,1
table 3 implementation of the,1
(a) jadex evaluation,1
(b) jade evaluation,1
(pp. 108-117). springer.,1
behaviour driven development test suites,1
ruxandra bob,1
tim storer,1
feature: balance management,1
behaviour-driven development and gherkin,1
"from behave import given, when, then",1
from banking import bankaccount,1
design of behave_nicely,1
b. evaluation using mutation testing,1
a. open source project data set,1
context.location_param = none if \,1
location == 'no parameters' else location,1
project_folder = context.location_param or \,1
a. white box projects,1
b. black box projects,1
d -i -n -k -y,1
ategory,1
ount,1
behavior driven development approach in the,1
modern quality control process,1
"kharkiv, ukraine",1
maximum efficiency without,1
"proper usage, but the",1
test driven,1
scenario; feature; keyword; step,1
description of the bdd approach,1
ieee international conference on,1
pic s&t'2020,1
best practices of the bdd usage,1
bdd approach in modern testing,1
"october 6-9, 2020",1
b. actions limitation,1
experience-based practices of the bdd usage,1
the point of view,1
d. steps number limit,1
e. generic steps,1
a. scenario name pattern,1
"f. ""given"" steps usage",1
"g. ""and"" steps tabulation",1
behavior driven development for,1
ircuit design and verification,1
daniel große1,1
class calculator,1
"def add(a, b)",1
given /^a calculator$/ do,1
def result,1
proposed flow,1
scenario outline: adding,1
a. bdd for circuit design,1
